TOI,p_value,Period (d),Rp (R_Earth),Planet Eq Temp (K),Planet SNR,Distance (pc),Stellar Teff (K),R_star (R_Sun),M_star (M_Sun)
1647.01,,6.9743673,22.0018,1198,116,306.502,5821.7,1.86,1.166
1649.01,,3.4557866,15.4178,1835,302,267.683,8170,1.78,1.996
1651.01,,3.764991857,17.78139605,1528.544231,269.7915,235.479,6724,1.417700052,1.432
1656.01,,,12.8378,1837,111,106.477,6324,1.26,1.248
1670.01,,40.7500411,10.8812,625,243,168.067,6453,1.31,1.258
1676.01,,3.191584354,16.27034953,1752.902245,155.07233,213.053,6673,1.68685,1.41
1682.01,,2.7347645,17.6616,1802,711,136.681,6767.9,1.77,1.45
1709.01,,7.6288424,18.0261,1194,157,268.655,6157,1.6,1.171
1714.01,,3.4744763,19.6131,1789,267,396.11,6642.3,1.67,1.4
1718.01,,5.5870435,4.39879,1071,123,52.3044,5378,0.94,0.93
1720.01,,2.6158578,14.2157,1752,172,154.273,5267,1.08,0.902
1721.01,,4.1250582,15.8499,1582,226,272.655,6304,1.62,1.238
1725.01,,1.0914167,23.9976,2409,429,427.246,6154,1.75,1.17
1731.01,,3.9228042,15.8493,1369,103,455.203,6193,1.3,1.19
1766.01,,2.7033942,16.72,1790,222,210.252,6518,1.61,1.34
1767.01,,4.3532339,16.2509,1388,144,227.537,5914,1.59,1.076
1771.01,,3.2122325,12.9848,1183,371,81.7647,5357.7,1.04,0.93
1779.01,,1.8817191,10.9698,606,111,33.928,3138,0.31,0.283907
1787.01,,8.7046669,28.8458,1172,103,327.863,6427,1.67,1.3
1800.01,,4.1244833,12.4249,1289,131,277.278,5634,1.26,1
1809.01,,4.6170519,12.4681,1281,109,321.084,5797,1.11,1.04
1810.01,,1.3273482,15.4709,1697,248,294.419,5555.05,1.07,0.98
1811.01,,3.7130701,11.7215,762,170,128.23,4719,0.81,0.756
1815.01,,2.5553311,20.4429,2260,159,617.233,6454,2.48,1.31
1823.01,,38.8135644,8.03465,459,154,71.6456,4760,0.82,0.77
1825.01,,10.1824258,10.9373,790,144,285.509,5450,1.01,0.97
1826.01,,4.141979374,12.98883444,1182.988596,154.99704,265.471,5418.3,1.15613997,0.988
1829.01,,6.2895853,15.8782,934,180,479.529,5565,1.02,0.98
1830.01,,9.7815625,18.205,1079,143,50.3098,6327.16,1.21,1.25
1833.01,,3.693599764,17.07728681,1622.824606,187.55078,251.303,6097.47,1.78076005,1.145
1840.01,,7.8456075,14.2866,1442,131,240.726,6266,1.65,1.22
1841.01,,4.3011975,15.3684,1027,139,347.85,5115.16,1.03,0.86
